Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KEN,Kenya,KE,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,-546.968966102306,-504.948340825428,-390.922795017082,-259.367225267003,-313.704753871807,-370.143844432935,-429.706247965662,-365.498200486206,-333.761436567039,-396.190368684485,-576.511603383371,-930.077786667065,-1193.1162199772,-895.784329257604,-518.163530572217,-57.5368086021802,-114.612909254419,-204.365918272696,-80.6621245822704,37.1235831692464,102.596440519998,-216.73886273876,-285.118559164864,-529.765206491704,-147.456674193011,6.41402605331281,-811.275035388195,-247.675694150727,-1186.43272780282,-1250.74400077217,-2326.54546361401,-1694.64367567124,-2749.55241513996,-2993.05708187589,-3623.60387821289,-5542.92205634664,-5660.83589969625,-6674.279264631,-5693.825804288,-5196.01398441546,-4796.21228326864
KEN,Kenya,KE,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,1811.54922329707,1721.55442158315,1566.74996269697,1377.20994035454,1412.97303687225,1430.80519820756,1669.10541400377,1962.42127461009,2151.46488254299,2126.04437718648,2188.10633046936,1607.00620212984,1471.17851922498,1100.29216186411,1847.61938706282,2697.81952018664,2639.29587162984,2890.16558788727,3061.59865274663,2673.53336328133,2475.67609544291,2837.65565855691,2598.25206962297,3109.42913199641,3619.40325379958,4248.69268831943,5219.57504320353,6462.54991886973,6820.86934707091,7059.61549690634,8192.67004794109,8164.2234173242,11567.806430593,10858.5072573156,12127.0248822511,12459.6146618909,13598.3341050934,13962.7721566096,14456.4751277307,18310.9340588791,19924.39680896
KEN,Kenya,KE,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,2358.51818939938,2226.50276240858,1957.67275771405,1636.57716562154,1726.67779074406,1800.94904264049,2098.81166196943,2327.9194750963,2485.22631911003,2522.23474587097,2764.61793385273,2537.08398879691,2664.29473920218,1996.07649112172,2365.78291763504,2755.35632878882,2753.90878088426,3094.53150615997,3142.2607773289,2636.40978011208,2373.07965492291,3054.39452129567,2883.37062878784,3639.19433848811,3766.85992799259,4242.27866226611,6030.85007859172,6420.19806387859,8222.38128130609,8310.35949767851,10519.2155115551,9858.86709299544,14317.3588457329,13851.5643391915,15750.628760464,18002.5367182375,19259.1700047896,20637.0514212407,20150.3009320187,23506.9480432946,24720.6090922286
KEN,Kenya,KE,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,-5.4593099273,-5.3508080475,-4.3026111433,-3.0867995439,-3.5982027369,-4.266141388,-4.1700717739,-3.2355440035,-2.8496741635,-3.4120628661,-4.7714181998,-8.1516886938,-10.6177138915,-11.474596507,-5.5437075223,-0.4855984737,-0.9591154144,-1.5511151284,-0.590609895,0.2904851432,0.8139906699,-1.6693704522,-2.1759817298,-3.5543947788,-0.9163333615,0.0341988185,-3.1430753964,-0.7749993014,-3.3595722255,-3.3784254894,-5.8138671419,-4.0871792343,-4.5448923942,-5.4323060991,-5.8972772107,-8.6598151571,-7.9869892161,-8.9063997597,-6.7447416914,-5.6966374336,-4.8691273875
KEN,Kenya,KE,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,18.0811147824,18.2428706234,17.2441104335,16.3905482327,16.2068422159,16.4909328253,16.1977848998,17.3721796137,18.3693297601,18.3098773832,18.1095580852,14.084643754,13.0922305295,14.0942503511,19.7672373488,22.7690251384,22.0864243842,21.9360429806,22.4170943694,20.9199020036,19.6417851644,21.8562488054,19.8294669047,20.8623339854,22.4918944384,22.6535204121,20.2218941572,20.2218941572,19.3143721303,19.0689580964,20.4728839136,19.6906552655,19.1210886452,19.7078550749,19.7362708164,19.4658988173,19.1861678696,18.6324284091,17.1247231398,20.0751485112,20.2273003054
KEN,Kenya,KE,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,23.5404247097,23.5936786709,21.5467215767,19.4773477766,19.8050449527,20.7570742133,20.3678566737,20.6077236171,21.2190039236,21.7219402493,22.880976285,22.2363324478,23.7099444209,25.5688468581,25.3109448711,23.2546236121,23.0455397987,23.487158109,23.0077042644,20.6294168604,18.8277944945,23.5256192575,22.0054486344,24.4167287642,23.4082277999,22.6193215935,23.3649695537,20.0893714317,23.2829752021,22.4473835858,26.2867510555,23.7778344998,23.6659810394,25.140161174,25.6335480271,28.1257139744,27.1731570857,27.5388281689,23.8694648312,25.7717859448,25.0964276929
KEN,Kenya,KE,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,-1076.66876187148,-642.950296342333,-295.140616308505,-36.0571373518392,-110.087293456857,-95.7470634721005,-32.1013010160953,-487.758033113409,-460.299509507258,-676.065000795628,-473.728012858921,-142.064625405558,-101.189489955932,170.93391707033,-7.65530036649558,-499.642541017533,-185.852228559007,-439.611746399314,-539.070025309591,-225.384437145843,-275.409980245741,-392.789347756046,317.323061781423,-11.6371422280536,-131.266574062382,-252.523513048086,-478.7515598805,-1017.78537451602,-1982.59567667128,-1715.31025578959,-2367.4092973035,-3819.30029556759,-4216.14668223607,-4842.14770029476,-6377.9265171221,-4288.94615603225,-3697.33738413299,-5018.2680757635,-4902.81457705914,-4753.01090655525,-5237.3635175601
KEN,Kenya,KE,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,-10.7462558652,-6.8131793723,-3.2484043416,-0.4291257502,-1.262704488,-1.1035453281,-0.3115261412,-4.3178395327,-3.9300634406,-5.8223936436,-3.9207440909,-1.2451287595,-0.9004999137,2.1895870062,-0.0819022253,-4.2168771823,-1.5552675381,-3.3366054195,-3.9470828804,-1.7635913593,-2.1850773104,-3.0253500585,2.421761624,-0.0780779807,-0.8157239523,-1.3464251187,-1.8547991535,-3.1847410661,-5.6140337448,-4.6332805808,-5.9159828769,-9.2114732328,-6.9691099117,-8.7883484228,-10.3798323341,-6.7007041688,-5.2166489788,-6.6965585065,-5.8077326247,-5.2109520747,-5.3169852866
KEN,Kenya,KE,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,,7.8953155927,13.8171025688,11.6055854552,20.6625422031,11.3992990936,10.2829257117,13.0075328636,4.8047625718,7.6176222131,16.5014933345,19.6000246082,27.3000127187,40.7819526731,28.8136292945,1.5548134386,8.99999459,11.2000083825,6.6067294365,5.7276942213,10.0,5.8,1.989766913,9.8104793757,4.7977952363,9.9,7.2509726208,7.0275694356,15.1138676371,10.5373850289,4.0838429309,14.0224939638,9.3777674816,5.7174935704,6.8781549928,6.5821744025,6.2971575246,8.0057227913,4.7647891311,5.4958105157,5.3672874728
NGA,Nigeria,NG,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,,20.8382279622,-1.0531883983,-5.0504502302,-2.0215359103,8.3228258598,-8.7541765507,-10.7516975998,7.5425182716,6.4671916212,12.7660088565,-0.6178494436,0.433726281,2.0903783447,0.9097607773,-0.3074662793,4.993705316,2.8022565547,2.7156392491,0.4742379374,5.3180920267,8.1643105479,21.1771178879,10.3354737672,10.5850162509,6.5119281084,6.0310229011,6.4498316504,5.9836635883,6.9344168804,10.6,4.88738659,4.279277261,5.3944163074,6.3097186627,2.6526932888,-1.5830654925,0.824,1.9427225265,2.3401126945,2.4454969702
NGA,Nigeria,NG,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,,17.6015314503,-3.5952290785,-7.4275503204,-4.4686153375,5.5820711497,-11.0988396207,-13.0645393065,4.7500442696,3.7218429366,9.8949139437,-3.115803396,-2.0667959985,-0.4332002974,-1.5748162801,-2.7586103994,2.4133163433,0.2759087361,0.1888737527,-2.0023767949,2.7142893542,5.481894411,18.160302167,7.5716445172,7.7907890907,3.7936467109,3.2990117631,3.6849806296,3.2130495595,4.1261876938,7.687403752,2.1190935812,1.5240855175,2.6146256148,3.5196242382,-0.0222351906,-4.1271770126,-1.7623664834,-0.6537501401,-0.250533767,-0.1337620995
NGA,Nigeria,NG,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,30445.4708165402,36789.767429456,36402.3018671274,34563.821728681,33865.1016604636,36683.6350989082,33472.2849171353,29873.4460631014,32126.6561907674,34204.3486081084,38570.8787807277,38332.5688207893,38498.8272459475,39303.5983936603,39661.1671159133,39539.222401055,41513.6946520016,42677.0148814855,43835.9686479513,44043.8554415067,46386.1482059927,50173.2573967391,60798.5072638461,67082.3210329501,74182.9956157687,79013.7389589251,83779.0756505533,89182.6849882994,94519.0768370165,101073.423656386,111787.206563963,117250.679506938,122268.161173464,128863.814798598,136994.758970349,140628.809747522,138402.563587889,139543.000711853,142253.934020789,145582.836389249,149143.060242337
NGA,Nigeria,NG,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,60592.5261423844,62312.4485730303,53934.0180689523,36507.7197013534,26475.7775370606,25965.9890500636,20562.826233317,21911.7892986157,24311.3126631498,23487.1387419545,31479.9527155924,28336.8753104519,25521.8247359252,15789.6873445059,18086.4305480057,36945.479588687,46019.8385166207,35386.2294195673,32748.9071291657,35870.792991612,46386.1481076614,44138.1133091626,59116.8682490039,67656.0233237659,93550.7342395634,165344.706665525,244135.696579257,265697.266578114,332122.733223036,270534.004467769,369062.403205629,414095.238505478,460951.712208956,513258.046204339,554863.289256545,494583.095075663,404649.570538402,375745.475265181,409182.443363982,458464.952757843,512956.808745281
NGA,Nigeria,NG,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,48410.7417113628,53218.5031299928,45332.1949000704,30828.2424633243,27598.6964279871,26658.2298389405,19299.6544584191,17130.5872740758,20886.1558482358,18217.2968220128,19950.2319942011,21562.4744862852,21227.41883298,16504.6254500452,18213.6561857126,22818.449953472,26179.4188412168,26485.9614408933,25931.3046280947,27928.3219051532,26896.0606444739,28651.1350099286,43881.7173974175,48967.6555821583,70113.5722957831,135595.85531409,177099.662268005,220546.149695112,256159.937081753,217545.41336259,276178.297975371,306109.609666835,306970.56990734,412205.424498545,444635.629972419,417971.820183226,351719.602385331,317618.203140804,333461.443419343,379896.842103247,429956.738271872
NGA,Nigeria,NG,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,6427.02633922891,7972.77764394122,6850.93979294401,4716.88606159854,2850.22822405058,2052.82454477792,2102.38710695752,3288.30462835516,3399.82535641236,3302.17586413021,3466.52892947137,3154.13122771968,2322.01161774553,1951.81444487467,2363.96150148016,2303.57242900151,2360.43185547091,2527.95071165084,3939.81104651163,4943.32488172972,9623.36810931474,12811.540581744,11325.2553615064,13571.1116376559,5846.69222698573,7551.39848565139,9975.79421339397,16944.9451886812,24221.6160503636,21960.3092844951,32150.4414978174,35174.5029746158,37798.2721610884,36846.9573611165,36750.5252600737,29354.2933653895,21787.4708101509,17376.2833468705,18163.5857101944,19391.9799502153,20789.1502452636
NGA,Nigeria,NG,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,41983.7153721339,45245.7254860516,38481.2551071263,26111.3564017258,24748.4682039366,24605.4052941626,17197.2673514616,13842.2826457206,17486.3304918234,14915.1209578826,16483.7030647297,18408.3432585655,18905.4072152344,14552.8110051705,15849.6946842324,20514.8775244705,23818.9869857458,23958.0107292425,21991.4935815831,22984.9970234235,17272.6925351591,15839.5944281846,32556.4620359111,35396.5439445024,64266.8800687974,128044.456828438,167123.868054611,203601.20450643,231938.321031389,195585.104078095,244027.856477554,270935.106692219,269172.297746252,375358.467137429,407885.104712345,388617.526817837,329932.13157518,300241.919793933,315297.857709148,360504.862153032,409167.588026609
NGA,Nigeria,NG,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,12000.2554453238,11556.2524301614,10487.4870185144,6600.11389955281,5732.12468901866,5735.00547671521,5077.22011154856,4302.94074251935,4317.29498678344,4845.71900123018,6911.89398108438,6501.09574633646,6053.31404509132,4816.82993914206,4505.19277831195,4153.49890730219,5501.00867825087,6056.70129204642,8643.76820936492,10329.6533073854,9449.96725346381,10596.9951406585,18011.3984958089,17204.8519612989,6428.37716712537,15810.0983101096,31368.7532033506,40167.3460140316,45183.1894959826,53438.7705566194,63813.6268257683,67133.040021409,68717.2523197558,76749.3734156606,89837.7804385366,76611.4362411496,62181.4682120146,58144.0859790558,62730.0621744748,67960.695783406,73738.3281365118
